Категория,Подкатегория,"Наименование (марка, ширина, размеры, полка, диаметр)","Хар-ка (размер, диаметр, толщина, стенка, ширина, длина, полка)",Единица измерения,Цена
Цветной прокат,ЛАТУННЫЙ КРУГ,Л63,5 | 6,т,1085088
Цветной прокат,ЛАТУННЫЙ КРУГ,Л63,7 | 8| 10,т,1028192
Цветной прокат,ЛАТУННЫЙ КРУГ,Л63,12 | 14| 15| 16| 18| 20| 22| 24| 25| 27| 28| 30| 32| 35| 40| 45| 50| 55| 60| 65| 70| 75| 80| 85| 90| 100| 120,т,1022096
Цветной прокат,ЛАТУННЫЙ КРУГ,Л63,130 | 140| 150| 160,т,1070864
Цветной прокат,ЛАТУННЫЙ КРУГ,ЛС59-1,3,т,1189736
Цветной прокат,ЛАТУННЫЙ КРУГ,ЛС59-1,4 | 4.5,т,1133856
Цветной прокат,ЛАТУННЫЙ КРУГ,ЛС59-1,5,т,972312
Цветной прокат,ЛАТУННЫЙ КРУГ,ЛС59-1,7 | 7.5| 8| 9,т,924560
Цветной прокат,ЛАТУННЫЙ КРУГ,ЛС59-1,10 | 11| 12| 13| 14| 15| 16| 17| 18| 19| 20| 22| 23| 24| 25| 27| 28| 30| 32| 35| 36| 38| 40| 42| 45| 48| 50| 55| 60| 65| 70| 75| 80| 85| 90| 100| 110| 120| 130| 140,т,820928
Цветной прокат,ЛАТУННЫЙ КРУГ,ЛС59-1,150 | 160,т,836168
Нержавейка,СТАЛЬ СОРТ НЕРЖ НИКЕЛ КВАДРАТ,AISI 304 (08Х18Н10) h11 (Калиброванный),6 | 8| 10,т,375920
Нержавейка,СТАЛЬ СОРТ НЕРЖ НИКЕЛ КВАДРАТ,AISI 304 (08Х18Н10) h11 (Калиброванный),12,т,386080
Нержавейка,СТАЛЬ СОРТ НЕРЖ НИКЕЛ КВАДРАТ,AISI 304 (08Х18Н10) h11 (Калиброванный),15 | 19,т,381000
Нержавейка,СТАЛЬ СОРТ НЕРЖ НИКЕЛ КВАДРАТ,AISI 304 (08Х18Н10) h11 (Калиброванный),20,т,382016
Нержавейка,СТАЛЬ СОРТ НЕРЖ НИКЕЛ КВАДРАТ,AISI 304 (08Х18Н10) h11 (Калиброванный),25,т,383032
Нержавейка,СТАЛЬ СОРТ НЕРЖ НИКЕЛ КВАДРАТ,AISI 304 (08Х18Н10) h11 (Калиброванный),30 | 40| 50,т,411480
Нержавейка,СТАЛЬ СОРТ НЕРЖ НИКЕЛ КВАДРАТ,AISI 304 (08Х18Н10) h11 (Калиброванный),60,т,426720
Нержавейка,СТАЛЬ СОРТ НЕРЖ НИКЕЛ КВАДРАТ,AISI 304 (08Х18Н10) h11 (Калиброванный),65 | 70| 90| 100,т,406400
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,Ст3,10 | 12,т,82286
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,Ст3,14 | 16| 18| 20| 22| 24| 25| 28| 30,т,81270
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,Ст3,32 | 34| 36| 38| 40| 42| 45| 48| 50| 56| 60| 65| 70| 75| 80| 90| 100| 110| 120,т,70094
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,Ст3,130 | 140| 150| 160| 170| 180,т,71110
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,Ст3,190 | 210| 220,т,78222
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,Ст3,230 | 240| 250,т,110734
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,Ст3,260 | 270| 280| 300,т,116830
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,Ст3 оцинк,8,т,132070
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,Ст3 оцинк,10,т,131054
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,Ст3 оцинк,12,т,130038
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,Ст3 оцинк,14,т,117846
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,Ст3 оцинк,16 | 18| 20,т,129022
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,Ст3 оцинк К,8 | 10| 10,т,117744
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,Ст3 оцинк К,12,т,116220
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,09Г2С,16 | 20| 22| 24| 25| 28,т,83302
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,09Г2С,32 | 36| 40| 42| 45| 48| 50| 56| 60| 65| 70| 75| 80| 85| 90| 95| 100| 105| 110| 120,т,73142
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,09Г2С,130 | 140| 150| 160,т,74158
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,09Г2С,170 | 180,т,82286
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,09Г2С,190 | 200| 210| 220,т,84318
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,09Г2С,230 | 240| 250,т,116830
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,09Г2С,270 | 280| 290| 300,т,126990
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,15Х,56,т,50790
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,18ХГТ,30,т,85334
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,18ХГТ,36 | 40| 42| 45| 50| 56| 60| 65| 70| 80| 90| 100| 110| 120,т,76190
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,18ХГТ,130 | 140| 150| 160,т,77206
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,18ХГТ,170 | 180,т,90414
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,18ХГТ,200 | 210| 220,т,93462
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,18ХГТ,230 | 240| 250,т,119878
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,18ХГТ,260 | 270| 280| 290,т,129022
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,20Х,20 | 25| 30,т,83302
